Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Pricelandratio,
Toorak,u,640000,24/06/2017,4.1,2,1,1,1452,96,1970,Port Phillip City Council,-37.8554,145.0018,Southern Metropolitan,4380,51,413.2231405,6250,300000,117647.0588,12549.01961,TOORAK,,,
Travancore,t,856000,24/06/2017,4.3,2,1,1,0,78,1970,Brimbank City Council,-37.7796,144.8252,Western Metropolitan,2185,51, ,4089.74359,159500,22949.64029,16784.31373,TRAVANCORE,,,
Vermont,h,1235000,24/06/2017,17.2,2,1,2,462,,1970,Hobsons Bay City Council,-37.8331,144.8715,Western Metropolitan,984,51,849.025974, ,196125,43104.3956,24215.68627,VERMONT,,,
Vermont South,h,1290000,24/06/2017,17.2,3,1,1,550,143,1970,Moonee Valley City Council,-37.7632,144.8622,Western Metropolitan,4502,51,1140.909091,4388.111888,209166.6667,59761.90476,25294.11765,VERMONT SOUTH,,,
Wantirna,h,1000000,24/06/2017,14.7,1,1,1,0,,1970,Glen Eira City Council,-37.9205,145.0528,Southern Metropolitan,10969,51, , ,370000,26618.70504,19607.84314,WANTIRNA,,,
Wantirna South,h,1180000,24/06/2017,14.7,2,1,1,1031,,1970,Melbourne City Council,-37.784,144.9715,Northern Metropolitan,3106,51,741.9980601, ,382500,239062.5,23137.2549,WANTIRNA SOUTH,,,
Windsor,h,957500,24/06/2017,4.6,1,1,1,0,43,1970,Port Phillip City Council,-37.8831,144.9918,Southern Metropolitan,8989,51, ,11279.06977,485000,62987.01299,18774.5098,WINDSOR,,,
Windsor,h,2080000,24/06/2017,4.6,2,1,1,0,59,1970,Melbourne City Council,-37.7825,144.9239,Northern Metropolitan,3593,51, ,6627.118644,195500,88863.63636,40784.31373,WINDSOR,,,
Airport West,h,640000,1/07/2017,10.4,3,2,2,568,148,1970,Brimbank City Council,-37.7469,144.8526,Western Metropolitan,5629,51,1214.788732,4662.162162,230000,53906.25,12549.01961,AIRPORT WEST,,,
Airport West,h,961000,1/07/2017,10.4,2,1,1,0,,1970,Stonnington City Council,-37.8537,145.041,Southern Metropolitan,4675,51, , ,317500,85810.81081,18843.13725,AIRPORT WEST,,,
Albert Park,h,1535000,1/07/2017,3,2,1,1,0,,1970,Moreland City Council,-37.7262,144.9273,Northern Metropolitan,7485,51, , ,260750,52676.76768,30098.03922,ALBERT PARK,,,
Albion,h,570000,1/07/2017,10.5,2,1,1,443,50,1970,Stonnington City Council,-37.8493,145.0006,Southern Metropolitan,7717,51,1089.164786,9650,241250,107222.2222,11176.47059,ALBION,,,
Altona North,h,900000,1/07/2017,9.4,4,2,5,671,180,1970,Manningham City Council,-37.7631,145.1108,Eastern Metropolitan,5420,51,1177.347243,4388.888889,197500,57246.37681,17647.05882,ALTONA NORTH,,,
Bayswater,t,640000,1/07/2017,23.2,1,1,1,0,,1970,Stonnington City Council,-37.8392,145.008,Southern Metropolitan,7217,51, , ,462800,100608.6957,12549.01961,BAYSWATER,,,
Bayswater North,u,500000,1/07/2017,23.2,3,2,1,364,93,1970,Hobsons Bay City Council,-37.8513,144.8961,Western Metropolitan,6380,51,4038.461538,15806.45161,490000,183750,9803.921569,BAYSWATER NORTH,,,
Beaumaris,h,1221000,1/07/2017,17.3,2,1,1,0,,1970,Hobsons Bay City Council,-37.8564,144.8864,Western Metropolitan,802,51, , ,200000,44943.82022,23941.17647,BEAUMARIS,,,
Bentleigh,h,1045000,1/07/2017,11.4,2,1,2,0,75,1970,Maribyrnong City Council,-37.7952,144.8749,Western Metropolitan,5058,51, ,5840,219000,53414.63415,20490.19608,BENTLEIGH,,,
Bentleigh East,h,1220000,1/07/2017,13.8,2,1,1,92,,1970,Maribyrnong City Council,-37.8095,144.869,Western Metropolitan,5058,51,3913.043478, ,180000,43902.43902,23921.56863,BENTLEIGH EAST,,,
Brighton,h,2650000,1/07/2017,10.5,2,1,0,0,58,1970,Port Phillip City Council,-37.8742,144.9972,Southern Metropolitan,2952,51, ,8965.517241,260000,78787.87879,51960.78431,BRIGHTON,,,
Brighton,u,380000,1/07/2017,10.5,3,2,2,690,245,1970,Glen Eira City Council,-37.9317,145.0469,Southern Metropolitan,6795,51,1924.637681,5420.408163,442666.6667,102153.8462,7450.980392,BRIGHTON,,,
Brighton East,t,1731000,1/07/2017,10.3,5,3,3,669,309,1970,Bayside City Council,-37.9289,145.0284,Southern Metropolitan,6938,51,3064.275037,6634.304207,410000,191588.785,33941.17647,BRIGHTON EAST,,,
Brunswick West,h,573000,1/07/2017,5.2,1,1,1,0,51,1970,Moreland City Council,-37.7597,144.9548,Northern Metropolitan,11918,51, ,5480.392157,279500,53750,11235.29412,BRUNSWICK WEST,,,
Cairnlea,h,630000,1/07/2017,14.8,2,1,1,0,62,1970,Moreland City Council,-37.7676,144.9394,Northern Metropolitan,7082,51, ,6129.032258,190000,64406.77966,12352.94118,CAIRNLEA,,,
Carlton,u,350000,1/07/2017,1.6,2,1,1,0,82,1970,Moreland City Council,-37.772,144.9406,Northern Metropolitan,7082,51, ,8292.682927,340000,115254.2373,6862.745098,CARLTON,,,
Carlton,u,620000,1/07/2017,1.6,2,1,1,831,80,1970,Glen Eira City Council,-37.8974,145.0294,Southern Metropolitan,5051,51,632.3706378,6568.75,262750,56505.37634,12156.86275,CARLTON,,,
Cheltenham,t,950000,1/07/2017,17.9,3,1,1,431,117,1970,Darebin City Council,-37.75,144.9695,Northern Metropolitan,11204,51,2320.185615,8547.008547,333333.3333,128205.1282,18627.45098,CHELTENHAM,,,
Clifton Hill,u,1030000,1/07/2017,3.6,2,1,1,0,60,1970,Melbourne City Council,-37.7833,144.9255,Northern Metropolitan,3593,51, ,6583.333333,197500,89772.72727,20196.07843,CLIFTON HILL,,,
Coburg,h,900000,1/07/2017,6.7,3,2,2,357,120,1970,Bayside City Council,-37.9449,145.0144,Southern Metropolitan,5454,51,2941.176471,8750,350000,76642.33577,17647.05882,COBURG,,,
Coburg,h,922000,1/07/2017,6.7,3,2,2,413,137,1970,Bayside City Council,-37.933,144.9975,Southern Metropolitan,5454,51,3535.108959,10656.93431,486666.6667,106569.3431,18078.43137,COBURG,,,
Croydon,h,932000,1/07/2017,23,2,1,1,0,80,1970,Stonnington City Council,-37.8633,145.0338,Southern Metropolitan,4675,51, ,7075,283000,76486.48649,18274.5098,CROYDON,,,
Croydon,h,570000,1/07/2017,23,2,1,1,0,,1970,Darebin City Council,-37.7813,145.0062,Northern Metropolitan,11364,51, , ,215000,78181.81818,11176.47059,CROYDON,,,
Doncaster East,h,1856000,1/07/2017,14.3,3,1,3,686,151,1970,Moreland City Council,-37.7231,144.9252,Northern Metropolitan,7485,51,1421.282799,6456.953642,325000,98484.84848,36392.15686,DONCASTER EAST,,,
Donvale,h,2705000,1/07/2017,16.1,2,1,1,106,74,1970,Darebin City Council,-37.7306,144.9993,Northern Metropolitan,14577,51,5000,7162.162162,265000,60227.27273,53039.21569,DONVALE,,,
Essendon,u,291000,1/07/2017,7.5,2,1,1,931,121,1970,Darebin City Council,-37.7033,145.0169,Northern Metropolitan,21650,51,897.9591837,6909.090909,418000,74642.85714,5705.882353,ESSENDON,,,
Essendon West,h,750000,1/07/2017,7.5,2,1,1,0,,1970,Melbourne City Council,-37.845,145.0012,Southern Metropolitan,14887,51, , ,306500,185757.5758,14705.88235,ESSENDON WEST,,,
Essendon West,h,2200000,1/07/2017,7.5,3,1,1,0,,1970,Melbourne City Council,-37.8376,145.0012,Southern Metropolitan,14887,51, , ,246666.6667,224242.4242,43137.2549,ESSENDON WEST,,,
Fitzroy North,h,1350000,1/07/2017,3.6,2,1,0,153,72,1970,Brimbank City Council,-37.7912,144.8439,Western Metropolitan,3755,51,2781.045752,5909.722222,212750,33769.84127,26470.58824,FITZROY NORTH,,,
Fitzroy North,h,1852000,1/07/2017,3.6,1,1,1,0,57,1970,Stonnington City Council,-37.8373,145.0116,Southern Metropolitan,7217,51, ,9491.22807,541000,117608.6957,36313.72549,FITZROY NORTH,,,
Footscray,u,170000,1/07/2017,5.1,2,1,1,0,,1970,Stonnington City Council,-37.8474,145.0078,Southern Metropolitan,7217,51, , ,245000,106521.7391,3333.333333,FOOTSCRAY,,,
Forest Hill,h,1372000,1/07/2017,15.4,3,2,2,544,146,1970,Monash City Council,-37.9055,145.1024,Southern Metropolitan,3224,51,1930.147059,7191.780822,350000,75000,26901.96078,FOREST HILL,,,
Glenroy,t,525000,1/07/2017,11.2,2,1,2,367,110,1970,Monash City Council,-37.8662,145.109,Southern Metropolitan,2894,51,1907.356948,6363.636364,350000,57377.04918,10294.11765,GLENROY,,,
Hampton,u,1210000,1/07/2017,13.8,2,1,1,100,85,1970,Moreland City Council,-37.7601,144.9581,Northern Metropolitan,11918,51,6595,7758.823529,329750,126826.9231,23725.4902,HAMPTON,,,
Highett,u,645000,1/07/2017,16,2,1,1,0,85,1970,Moreland City Council,-37.7607,144.9393,Northern Metropolitan,7082,51, ,4470.588235,190000,64406.77966,12647.05882,HIGHETT,,,
Hillside,h,650500,1/07/2017,18,2,1,1,0,74,1970,Darebin City Council,-37.7405,144.9644,Northern Metropolitan,11204,51, ,6756.756757,250000,64102.5641,12754.90196,HILLSIDE,,,
Huntingdale,h,750000,1/07/2017,12.3,2,1,1,0,54,1970,Port Phillip City Council,-37.8831,144.9855,Southern Metropolitan,8989,51, ,11703.7037,316000,82077.92208,14705.88235,HUNTINGDALE,,,
Keilor Downs,h,735000,1/07/2017,15.5,2,1,1,0,70,1970,Darebin City Council,-37.7755,145.0178,Northern Metropolitan,2970,51, ,7214.285714,252500,87068.96552,14411.76471,KEILOR DOWNS,,,
Keilor East,t,520000,1/07/2017,11.7,1,1,0,0,,1970,Yarra City Council,-37.8211,144.9955,Northern Metropolitan,14949,51, , ,345000,132692.3077,10196.07843,KEILOR EAST,,,
Keilor Lodge,h,640000,1/07/2017,15.5,1,1,1,0,33,1970,Darebin City Council,-37.7581,144.9944,Northern Metropolitan,8870,51, ,8181.818182,270000,41538.46154,12549.01961,KEILOR LODGE,,,
Kensington,t,967000,1/07/2017,3.4,2,1,1,114,65,1970,Moreland City Council,-37.758,144.9667,Northern Metropolitan,11918,51,5149.122807,9030.769231,293500,112884.6154,18960.78431,KENSINGTON,,,
Kensington,u,535000,1/07/2017,3.4,2,1,1,0,61,1970,Moreland City Council,-37.711,144.9178,Northern Metropolitan,8870,51, ,4098.360656,125000,19230.76923,10490.19608,KENSINGTON,,,
Kings Park,h,530000,1/07/2017,14,3,1,1,325,106,1970,Moreland City Council,-37.7001,144.9291,Northern Metropolitan,8870,51,1415.384615,4339.622642,153333.3333,35384.61538,10392.15686,KINGS PARK,,,
Maidstone,u,280000,1/07/2017,6.4,2,1,1,0,74,1970,Moreland City Council,-37.7071,144.9176,Northern Metropolitan,8870,51, ,4594.594595,170000,26153.84615,5490.196078,MAIDSTONE,,,
Maidstone,t,895000,1/07/2017,6.4,3,1,2,574,106,1970,Moreland City Council,-37.7157,144.9507,Northern Metropolitan,2606,51,1125.43554,6094.339623,215333.3333,53388.42975,17549.01961,MAIDSTONE,,,
Mitcham,h,950000,1/07/2017,17.2,2,1,1,0,,1970,Monash City Council,-37.8934,145.0853,Southern Metropolitan,3145,51, , ,187750,28884.61538,18627.45098,MITCHAM,,,
Mitcham,t,970000,1/07/2017,17.2,3,1,1,713,127,1970,Brimbank City Council,-37.7301,144.8671,Western Metropolitan,5629,51,1262.27209,7086.614173,300000,70312.5,19019.60784,MITCHAM,,,
Moonee Ponds,h,1810000,1/07/2017,6.2,3,1,1,390,84,1970,Hobsons Bay City Council,-37.847,144.8734,Western Metropolitan,5498,51,2076.923077,9642.857143,270000,96428.57143,35490.19608,MOONEE PONDS,,,
Mount Waverley,h,1205000,1/07/2017,14.2,2,1,1,1588,71,1970,Melbourne City Council,-37.7988,144.9478,Northern Metropolitan,6821,51,283.3753149,6338.028169,225000,195652.1739,23627.45098,MOUNT WAVERLEY,,,
Mount Waverley,h,1385000,1/07/2017,14.2,2,1,1,102,67,1970,Darebin City Council,-37.7064,145.0264,Northern Metropolitan,21650,51,3431.372549,5223.880597,175000,31250,27156.86275,MOUNT WAVERLEY,,,
Mount Waverley,h,2000000,1/07/2017,14.2,1,1,1,0,44,1970,Melbourne City Council,-37.8375,145.0012,Southern Metropolitan,14887,51, ,11704.54545,515000,156060.6061,39215.68627,MOUNT WAVERLEY,,,
Newport,h,710000,1/07/2017,6.2,2,1,1,0,,1970,Melbourne City Council,-37.8374,144.9871,Southern Metropolitan,14887,51, , ,185000,112121.2121,13921.56863,NEWPORT,,,
Nunawading,h,1100000,1/07/2017,15.4,4,3,2,0,160,1970,Moonee Valley City Council,-37.7337,144.9184,Western Metropolitan,3284,51, ,8125,325000,134020.6186,21568.62745,NUNAWADING,,,
Nunawading,h,926000,1/07/2017,15.4,3,1,2,697,,1970,Brimbank City Council,-37.7897,144.7964,Western Metropolitan,6763,51,958.3931133, ,222666.6667,49481.48148,18156.86275,NUNAWADING,,,
Oak Park,t,610000,1/07/2017,11.2,4,2,2,681,158,1970,Manningham City Council,-37.7646,145.1167,Eastern Metropolitan,5420,51,1879.58884,8101.265823,320000,92753.62319,11960.78431,OAK PARK,,,
Ormond,u,454000,1/07/2017,11.4,1,1,1,0,,1970,Stonnington City Council,-37.8373,145.0116,Southern Metropolitan,7217,51, , ,515501,112065.4348,8901.960784,ORMOND,,,
Ormond,u,562000,1/07/2017,11.4,4,1,1,465,120,1970,Darebin City Council,-37.7126,145.03,Northern Metropolitan,1414,51,1311.827957,5083.333333,152500,49193.54839,11019.60784,ORMOND,,,
Pascoe Vale,h,1501000,1/07/2017,8.5,2,1,1,697,,1970,Glen Eira City Council,-37.8875,145.0676,Southern Metropolitan,4442,51,624.1032999, ,217500,35950.41322,29431.37255,PASCOE VALE,,,
Pascoe Vale,h,780000,1/07/2017,8.5,3,2,3,0,93,1970,Glen Eira City Council,-37.9018,145.0477,Southern Metropolitan,3578,51, ,8844.086022,274166.6667,69703.38983,15294.11765,PASCOE VALE,,,
Port Melbourne,h,2450000,1/07/2017,3.5,4,2,2,606,112,1970,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211,51,3019.80198,16339.28571,457500,285937.5,48039.21569,PORT MELBOURNE,,,
Reservoir,h,840000,1/07/2017,12,3,1,1,0,98,1970,Stonnington City Council,-37.8596,145.0198,Southern Metropolitan,4836,51, ,6326.530612,206666.6667,98412.69841,16470.58824,RESERVOIR,,,
Reservoir,t,668500,1/07/2017,12,2,1,1,0,65,1970,Moonee Valley City Council,-37.7749,144.9137,Western Metropolitan,6567,51, ,6769.230769,220000,74576.27119,13107.84314,RESERVOIR,,,
Richmond,u,890500,1/07/2017,2.4,3,1,2,543,163,1970,Glen Eira City Council,-37.9242,145.0705,Southern Metropolitan,10969,51,1799.263352,5993.865031,325666.6667,70287.76978,17460.78431,RICHMOND,,,
Ringwood East,u,560000,1/07/2017,21.3,2,1,1,151,82,1970,Whitehorse City Council,-37.8234,145.1235,Eastern Metropolitan,4605,51,4211.92053,7756.097561,318000,48549.61832,10980.39216,RINGWOOD EAST,,,
Rowville,h,870000,1/07/2017,23.5,4,3,2,614,225,1970,Bayside City Council,-37.9186,145.0175,Southern Metropolitan,6938,51,3501.628664,9555.555556,537500,200934.5794,17058.82353,ROWVILLE,,,
Sandringham,u,643500,1/07/2017,15.2,3,2,3,472,134,1970,Darebin City Council,-37.734,144.9728,Northern Metropolitan,3445,51,1822.033898,6417.910448,286666.6667,93478.26087,12617.64706,SANDRINGHAM,,,
Seddon,h,850000,1/07/2017,5.1,3,1,2,811,,1970,Manningham City Council,-37.7927,145.1386,Eastern Metropolitan,9028,51,1763.25524, ,476666.6667,102877.6978,16666.66667,SEDDON,,,
South Yarra,u,857000,1/07/2017,2.7,3,2,2,900,195,1970,Manningham City Council,-37.7902,145.1344,Eastern Metropolitan,9028,51,1388.888889,6410.25641,416666.6667,89928.05755,16803.92157,SOUTH YARRA,,,
St Albans,h,565000,1/07/2017,14,4,3,2,654,305,1970,Manningham City Council,-37.7856,145.1088,Eastern Metropolitan,9028,51,2233.639144,4789.508197,365200,105093.5252,11078.43137,ST ALBANS,,,
St Albans,h,610000,1/07/2017,14,1,1,1,0,,1970,Port Phillip City Council,-37.8895,144.9902,Southern Metropolitan,8989,51, , ,451000,58571.42857,11960.78431,ST ALBANS,,,
St Kilda,u,350000,1/07/2017,5,2,1,1,0,66,1970,Moonee Valley City Council,-37.7461,144.9079,Western Metropolitan,9264,51, ,6590.909091,217500,54375,6862.745098,ST KILDA,,,
St Kilda,u,525000,1/07/2017,5,1,1,1,0,,1970,Moreland City Council,-37.782,144.9896,Northern Metropolitan,6244,51, , ,330000,94285.71429,10294.11765,ST KILDA,,,
St Kilda,u,517500,1/07/2017,5,2,1,1,266,,1970,Bayside City Council,-37.9344,145.004,Southern Metropolitan,5454,51,3375.93985, ,449000,65547.44526,10147.05882,ST KILDA,,,
St Kilda,u,365000,1/07/2017,5,3,1,3,583,106,1970,Bayside City Council,-37.9428,145.0296,Southern Metropolitan,2356,51,1835.334477,10094.33962,356666.6667,73793.10345,7156.862745,ST KILDA,,,
Strathmore,h,646000,1/07/2017,8.2,3,2,2,716,154,1970,Brimbank City Council,-37.734,144.8593,Western Metropolitan,5629,51,970.6703911,4512.987013,231666.6667,54296.875,12666.66667,STRATHMORE,,,
Templestowe Lower,h,1705000,1/07/2017,12.4,1,1,1,0,41,1970,Moonee Valley City Council,-37.758,144.9237,Western Metropolitan,6232,51, ,6463.414634,265000,38405.7971,33431.37255,TEMPLESTOWE LOWER,,,
Thornbury,h,2070000,1/07/2017,7,1,1,1,0,40,1970,Darebin City Council,-37.7827,144.9999,Northern Metropolitan,11364,51, ,10550,422000,76727.27273,40588.23529,THORNBURY,,,
Vermont,t,917000,1/07/2017,17.2,2,1,1,0,,1970,Darebin City Council,-37.703,145.014,Northern Metropolitan,21650,51, , ,176000,31428.57143,17980.39216,VERMONT,,,
West Footscray,h,845000,1/07/2017,6.4,4,1,2,770,152,1970,Darebin City Council,-37.6981,144.9989,Northern Metropolitan,21650,51,948.0519481,4802.631579,182500,65178.57143,16568.62745,WEST FOOTSCRAY,,,
Yarraville,h,1240000,1/07/2017,6.3,1,1,1,0,56,1970,Melbourne City Council,-37.8368,144.9848,Southern Metropolitan,14887,51, ,10133.92857,567500,171969.697,24313.72549,YARRAVILLE,,,
Airport West,u,670000,8/07/2017,10.4,3,1,2,535,105,1970,Brimbank City Council,-37.7956,144.8292,Western Metropolitan,3755,51,1065.420561,5428.571429,190000,45238.09524,13137.2549,AIRPORT WEST,,,
Avondale Heights,h,720000,8/07/2017,9.5,3,2,2,875,123,1970,Manningham City Council,-37.767,145.1097,Eastern Metropolitan,5420,51,1384,9845.528455,403666.6667,87753.62319,14117.64706,AVONDALE HEIGHTS,,,
Avondale Heights,h,1107500,8/07/2017,9.5,4,2,4,654,199,1970,Manningham City Council,-37.7639,145.1145,Eastern Metropolitan,5420,51,1681.957187,5527.638191,275000,79710.14493,21715.68627,AVONDALE HEIGHTS,,,
Bayswater,u,520000,8/07/2017,23.2,1,1,1,0,,1970,Darebin City Council,-37.7566,144.9893,Northern Metropolitan,8870,51, , ,315000,48461.53846,10196.07843,BAYSWATER,,,
Bentleigh,u,380000,8/07/2017,11.4,5,2,2,614,316,1970,Moonee Valley City Council,-37.75,144.8858,Western Metropolitan,588,51,2117.263844,4113.924051,260000,132653.0612,7450.980392,BENTLEIGH,,,
Blackburn,u,485000,8/07/2017,13.4,3,2,2,593,103,1970,Moonee Valley City Council,-37.7607,144.8581,Western Metropolitan,4502,51,1357.504216,7815.533981,268333.3333,76666.66667,9509.803922,BLACKBURN,,,
Blackburn South,h,1291000,8/07/2017,13.4,3,2,1,566,78,1970,Maribyrnong City Council,-37.7844,144.8523,Western Metropolitan,3589,51,998.2332155,7243.589744,188333.3333,52314.81481,25313.72549,BLACKBURN SOUTH,,,
Boronia,h,775000,8/07/2017,25,2,1,1,171,101,1970,Bayside City Council,-37.9125,145.0114,Southern Metropolitan,6938,51,5280.701754,8940.594059,451500,84392.52336,15196.07843,BORONIA,,,
Boronia,h,820000,8/07/2017,25,1,1,1,0,,1970,Glen Eira City Council,-37.8943,145.0145,Southern Metropolitan,5051,51, , ,290000,31182.7957,16078.43137,BORONIA,,,
Braybrook,h,797000,8/07/2017,8.6,3,1,1,862,135,1970,Moonee Valley City Council,-37.7399,144.8964,Western Metropolitan,9264,51,1011.600928,6459.259259,290666.6667,109000,15627.45098,BRAYBROOK,,,
Braybrook,h,590000,8/07/2017,8.6,2,1,1,1011,77,1970,Moonee Valley City Council,-37.7556,144.9132,Western Metropolitan,9264,51,435.2126607,5714.285714,220000,55000,11568.62745,BRAYBROOK,,,
Brighton,u,1180000,8/07/2017,10.5,2,1,2,0,75,1970,Darebin City Council,-37.7732,145.0193,Northern Metropolitan,2970,51, ,8000,300000,103448.2759,23137.2549,BRIGHTON,,,
Brighton East,u,585000,8/07/2017,10.3,1,1,1,649,43,1970,Melbourne City Council,-37.7971,144.9448,Northern Metropolitan,6821,51,551.6178737,8325.581395,358000,155652.1739,11470.58824,BRIGHTON EAST,,,
Brighton East,h,1580000,8/07/2017,10.3,2,1,1,0,,1970,Melbourne City Council,-37.845,145.0001,Southern Metropolitan,14887,51, , ,235000,142424.2424,30980.39216,BRIGHTON EAST,,,
Brooklyn,u,515000,8/07/2017,6.4,4,2,3,616,215,1970,Brimbank City Council,-37.7904,144.7999,Western Metropolitan,6763,51,1047.077922,3000,161250,47777.77778,10098.03922,BROOKLYN,,,
Brunswick,h,1515000,8/07/2017,5.2,3,1,2,627,109,1970,Brimbank City Council,-37.8023,144.8227,Western Metropolitan,6763,51,797.4481659,4587.155963,166666.6667,37037.03704,29705.88235,BRUNSWICK,,,
Brunswick,h,1037000,8/07/2017,5.2,1,1,1,0,41,1970,Darebin City Council,-37.7542,145.01,Northern Metropolitan,8870,51, ,7402.439024,303500,46692.30769,20333.33333,BRUNSWICK,,,
Brunswick East,h,1330000,8/07/2017,4,3,2,2,456,,1970,Maribyrnong City Council,-37.823,144.8768,Western Metropolitan,6543,51,2118.421053, ,322000,138000,26078.43137,BRUNSWICK EAST,,,
Brunswick East,t,937000,8/07/2017,4,2,1,1,0,65,1970,Maribyrnong City Council,-37.8182,144.8846,Western Metropolitan,6543,51, ,7392.307692,240250,68642.85714,18372.54902,BRUNSWICK EAST,,,
Brunswick East,u,290000,8/07/2017,4,2,1,1,140,250,1970,Glen Eira City Council,-37.9204,145.0443,Southern Metropolitan,6795,51,6078.571429,3404,425500,65461.53846,5686.27451,BRUNSWICK EAST,,,
Burwood East,h,1150000,8/07/2017,14.7,2,1,2,0,70,1970,Bayside City Council,-37.9081,145.0043,Southern Metropolitan,10579,51, ,7657.142857,268000,47857.14286,22549.01961,BURWOOD EAST,,,
Burwood East,h,1600000,8/07/2017,14.7,2,1,3,305,,1970,Bayside City Council,-37.9318,145.0293,Southern Metropolitan,6938,51,2459.016393, ,375000,70093.45794,31372.54902,BURWOOD EAST,,,
Cairnlea,h,636000,8/07/2017,14.8,2,1,1,73,61,1970,Glen Eira City Council,-37.897,145.0593,Southern Metropolitan,7822,51,8219.178082,9836.065574,300000,52631.57895,12470.58824,CAIRNLEA,,,
Carnegie,u,750000,8/07/2017,10.1,3,1,4,727,123,1970,Manningham City Council,-37.7942,145.1218,Eastern Metropolitan,9028,51,1929.848693,11406.50407,467666.6667,100935.2518,14705.88235,CARNEGIE,,,
Carnegie,u,286000,8/07/2017,10.1,3,1,1,638,115,1970,Manningham City Council,-37.7912,145.1248,Eastern Metropolitan,9028,51,2272.727273,12608.69565,483333.3333,104316.5468,5607.843137,CARNEGIE,,,
Carnegie,u,580010,8/07/2017,10.1,2,1,1,0,79,1970,Port Phillip City Council,-37.8752,144.9911,Southern Metropolitan,8989,51, ,6417.721519,253500,65844.15584,11372.7451,CARNEGIE,,,
Carnegie,t,1250000,8/07/2017,10.1,2,1,1,0,60,1970,Melbourne City Council,-37.7833,144.9255,Northern Metropolitan,3593,51, ,6083.333333,182500,82954.54545,24509.80392,CARNEGIE,,,
Caulfield South,u,636500,8/07/2017,8.7,3,1,1,604,112,1970,Moreland City Council,-37.7124,144.9514,Northern Metropolitan,2606,51,1043.046358,5625,210000,52066.1157,12480.39216,CAULFIELD SOUTH,,,
Chadstone,t,930000,8/07/2017,11.7,3,1,2,597,154,1970,Maribyrnong City Council,-37.763,144.8877,Western Metropolitan,4918,51,1633.165829,6331.168831,325000,112068.9655,18235.29412,CHADSTONE,,,
Coburg,h,760000,8/07/2017,6.7,2,1,1,0,65,1970,Melbourne City Council,-37.7994,144.9464,Northern Metropolitan,6821,51, ,8307.692308,270000,234782.6087,14901.96078,COBURG,,,
Coburg,t,876000,8/07/2017,6.7,2,1,1,99,67,1970,Darebin City Council,-37.7166,144.9911,Northern Metropolitan,21650,51,3393.939394,5014.925373,168000,30000,17176.47059,COBURG,,,
Collingwood,u,365000,8/07/2017,2,2,1,1,0,71,1970,Port Phillip City Council,-37.8675,144.9851,Southern Metropolitan,13240,51, ,6056.338028,215000,70491.80328,7156.862745,COLLINGWOOD,,,
Collingwood,h,1297000,8/07/2017,2,2,1,1,0,75,1970,Port Phillip City Council,-37.8573,144.9825,Southern Metropolitan,13240,51, ,7666.666667,287500,94262.29508,25431.37255,COLLINGWOOD,,,
Croydon,h,865000,8/07/2017,23,3,1,3,582,115,1970,Brimbank City Council,-37.7906,144.7929,Western Metropolitan,6763,51,962.1993127,4869.565217,186666.6667,41481.48148,16960.78431,CROYDON,,,
Croydon,h,760000,8/07/2017,23,2,1,1,0,,1970,Darebin City Council,-37.7561,145.0067,Northern Metropolitan,8870,51, , ,235000,72307.69231,14901.96078,CROYDON,,,
Croydon,h,725000,8/07/2017,23,2,1,1,0,73,1970,Stonnington City Council,-37.8574,145.0174,Southern Metropolitan,4836,51, ,8116.438356,296250,94047.61905,14215.68627,CROYDON,,,
Croydon,h,1120000,8/07/2017,23,3,2,2,803,152,1970,Monash City Council,-37.8621,145.1126,Southern Metropolitan,2894,51,1369.863014,7236.842105,366666.6667,90163.93443,21960.78431,CROYDON,,,
Deer Park,h,557000,8/07/2017,14.8,4,3,3,761,281,1970,Moonee Valley City Council,-37.7524,144.8714,Western Metropolitan,4502,51,1248.357424,3380.782918,237500,90476.19048,10921.56863,DEER PARK,,,
Deer Park,h,650000,8/07/2017,14.8,1,1,1,952,43,1970,Glen Eira City Council,-37.8744,145.0371,Southern Metropolitan,6923,51,304.6218487,6744.186047,290000,35802.46914,12745.09804,DEER PARK,,,
Doncaster,h,1663000,8/07/2017,12.4,4,2,2,655,170,1970,Manningham City Council,-37.782,145.1194,Eastern Metropolitan,9028,51,2183.206107,8411.764706,357500,102877.6978,32607.84314,DONCASTER,,,
Doncaster East,h,1310000,8/07/2017,14.3,2,1,1,0,79,1970,Glen Eira City Council,-37.8838,145.0095,Southern Metropolitan,4898,51, ,6797.468354,268500,63176.47059,25686.27451,DONCASTER EAST,,,
Doncaster East,h,1530000,8/07/2017,14.3,2,1,1,0,56,1970,Darebin City Council,-37.7782,145.0162,Northern Metropolitan,2970,51, ,7946.428571,222500,76724.13793,30000,DONCASTER EAST,,,
Donvale,t,630000,8/07/2017,16.1,3,1,2,570,134,1970,Moreland City Council,-37.7106,144.9491,Northern Metropolitan,2606,51,1280.701754,5447.761194,243333.3333,60330.57851,12352.94118,DONVALE,,,
