Suburb,Address,Rooms,Type,   Price   ,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,
Preston,105 Gower St,3,h," $1,115,000.00 ",S,McGrath,27/05/2017,8.4,3072,3,1,2,680,129,1960,Darebin City Council,-37.74244,145.02006,Northern Metropolitan,14577,,
Preston,52 May St,3,h," $1,171,000.00 ",S,Woodards,27/05/2017,8.4,3072,3,1,2,483,186,1930,Darebin City Council,-37.73261,144.99535,Northern Metropolitan,14577,,
Preston,477 Murray Rd,5,h," $1,060,000.00 ",SP,Nelson,27/05/2017,8.4,3072,5,2,2,559,192,1940,Darebin City Council,-37.73645,144.98715,Northern Metropolitan,14577,,
Preston,3/5 Sussex St,2,h," $617,500.00 ",S,Holland,27/05/2017,8.4,3072,2,1,3,155,81,1985,Darebin City Council,-37.75308,145.01464,Northern Metropolitan,14577,,
Reservoir,25 Fyfe St,2,t," $575,000.00 ",S,Ray,27/05/2017,12,3073,2,2,1,151,102,2015,Darebin City Council,-37.70426,145.01204,Northern Metropolitan,21650,,
Reservoir,104 Purinuan Rd,3,h," $635,000.00 ",SP,hockingstuart,27/05/2017,12,3073,3,2,2,289,147,2009,Darebin City Council,-37.70798,145.02101,Northern Metropolitan,21650,,
Reservoir,4 Wattle Gr,3,h," $860,000.00 ",S,Nelson,27/05/2017,12,3073,3,1,2,627,136,1950,Darebin City Council,-37.72216,144.99381,Northern Metropolitan,21650,,
Richmond,52/73 River St,2,u," $615,000.00 ",PI,hockingstuart,27/05/2017,2.4,3121,2,2,1,14196,86,2005,Yarra City Council,-37.81894,145.01314,Northern Metropolitan,14949,,
Richmond,7/4 Smith St,1,u," $314,000.00 ",SP,Biggin,27/05/2017,2.4,3121,1,1,1,0,37,1970,Yarra City Council,-37.81256,144.99347,Northern Metropolitan,14949,,
Richmond,9 Wall St,2,h," $1,341,000.00 ",S,Biggin,27/05/2017,2.4,3121,2,1,0,135,87,1890,Yarra City Council,-37.82241,145.00235,Northern Metropolitan,14949,,
Ringwood East,2/5 Mines Rd,2,u," $609,000.00 ",S,Barry,27/05/2017,21.3,3135,2,1,2,190,70,1970,Maroondah City Council,-37.80551,145.24589,Eastern Metropolitan,4407,,
Sandringham,8/7 Neptune St,2,u," $760,000.00 ",S,Buxton,27/05/2017,15.2,3191,2,1,1,0,82,1970,Bayside City Council,-37.95142,145.01977,Southern Metropolitan,4497,,
Seddon,57 Charles St,2,h," $830,000.00 ",VB,Village,27/05/2017,5.1,3011,2,1,1,152,91,1910,Maribyrnong City Council,-37.80697,144.8928,Western Metropolitan,2417,,
Seddon,19 Station Rd,2,h," $940,000.00 ",S,Jellis,27/05/2017,5.1,3011,2,1,0,207,94,1910,Maribyrnong City Council,-37.8071,144.88912,Western Metropolitan,2417,,
South Yarra,4 Hawksburn Rd,4,h," $2,920,000.00 ",S,RT,27/05/2017,2.7,3141,4,2,2,564,254,1920,Melbourne City Council,-37.84405,145.0016,Southern Metropolitan,14887,,
South Yarra,17/43 Kensington Rd,1,u," $400,000.00 ",VB,Jellis,27/05/2017,2.7,3141,1,1,1,0,43,1950,Melbourne City Council,-37.83678,145.00137,Southern Metropolitan,14887,,
Southbank,28/161 Sturt St,2,u," $600,000.00 ",VB,hockingstuart,27/05/2017,0.7,3006,2,1,1,3634,80,1993,Melbourne City Council,-37.8281,144.96627,Southern Metropolitan,8400,,
St Kilda,4/57 Chapel St,1,u," $480,000.00 ",PI,Buxton,27/05/2017,5,3182,1,1,1,0,64,1930,Port Phillip City Council,-37.86305,144.9911,Southern Metropolitan,13240,,
Sunshine,81 Parsons St,3,h," $1,070,000.00 ",S,Bells,27/05/2017,10.5,3020,3,2,2,573,198,1940,Brimbank City Council,-37.79127,144.83713,Western Metropolitan,3755,,
Sunshine North,9 Compton Pde,6,h," $750,000.00 ",SP,Douglas,27/05/2017,10.5,3020,6,2,4,588,113,1955,Brimbank City Council,-37.77049,144.83167,Western Metropolitan,4217,,
Sunshine North,9 McLeod St,3,h," $632,000.00 ",S,Douglas,27/05/2017,10.5,3020,3,1,1,471,121,1950,Brimbank City Council,-37.76951,144.83309,Western Metropolitan,4217,,
Templestowe Lower,140 Swanston St,4,h," $1,375,000.00 ",VB,Jellis,27/05/2017,12.4,3107,4,2,1,662,240,1950,Manningham City Council,-37.75763,145.09974,Eastern Metropolitan,5420,,
Thornbury,2/124 Flinders St,2,u," $745,000.00 ",S,McGrath,27/05/2017,7,3071,2,1,1,120,70,1975,Darebin City Council,-37.75668,145.00929,Northern Metropolitan,8870,,
Thornbury,30 Martin St,3,h," $1,225,000.00 ",SP,Jellis,27/05/2017,7,3071,3,1,0,275,90,1920,Darebin City Council,-37.76126,145.00247,Northern Metropolitan,8870,,
Tullamarine,35 Finningley Dr,3,h," $695,000.00 ",S,YPA,27/05/2017,12.9,3043,3,1,2,676,121,1980,Brimbank City Council,-37.69636,144.88265,Western Metropolitan,3296,,
West Footscray,5/19 Waratah St,3,u," $597,000.00 ",SP,Jas,27/05/2017,6.4,3012,3,1,1,126,120,1995,Maribyrnong City Council,-37.80962,144.86877,Western Metropolitan,5058,,
West Melbourne,1/110 Railway Pl,2,u," $660,000.00 ",PI,Nelson,27/05/2017,3.1,3003,2,1,1,0,91,1993,Melbourne City Council,-37.80848,144.9437,Northern Metropolitan,2230,,
Williamstown,2/70 Osborne St,2,u," $880,000.00 ",S,hockingstuart,27/05/2017,6.8,3016,2,1,2,169,78.54,2000,Hobsons Bay City Council,-37.86682,144.90003,Western Metropolitan,6380,,
Williamstown North,6 Edina St,3,h," $862,000.00 ",SP,Greg,27/05/2017,6.8,3016,3,1,1,353,85.35,1940,Hobsons Bay City Council,-37.85432,144.88214,Western Metropolitan,802,,
Yarraville,1/27 Stephen St,2,u," $709,500.00 ",SP,Jas,27/05/2017,6.3,3013,2,1,1,80,80,1970,Maribyrnong City Council,-37.81133,144.89553,Western Metropolitan,6543,,
Albert Park,91 Page St,3,h," $2,150,000.00 ",S,Marshall,20/05/2017,3.3,3206,3,1,1,163,85,1890,Port Phillip City Council,-37.8473,144.955,Southern Metropolitan,3280,,
Altona North,269 Blackshaws Rd,3,h," $916,000.00 ",SP,Hunter,20/05/2017,11.1,3025,3,1,2,606,109,1970,Hobsons Bay City Council,-37.8326,144.8594,Western Metropolitan,5132,,
Ashwood,2/5 Parkhill Dr,3,u," $890,000.00 ",S,Jellis,20/05/2017,12.2,3147,3,2,2,235,130,2006,Monash City Council,-37.8625,145.1083,Southern Metropolitan,2894,,
Avondale Heights,16 Cortina Pl,4,h," $1,300,000.00 ",SP,Nelson,20/05/2017,10.5,3034,4,3,2,656,322,1990,Moonee Valley City Council,-37.7522,144.8659,Western Metropolitan,4502,,
Bentleigh,197A Jasper Rd,3,t," $1,375,000.00 ",S,Buxton,20/05/2017,13,3204,3,3,2,338,194,2012,Glen Eira City Council,-37.9166,145.0418,Southern Metropolitan,6795,,
Bentleigh East,28B Barrington St,3,t," $1,225,000.00 ",S,hockingstuart,20/05/2017,13.9,3165,3,2,2,372,180,2008,Glen Eira City Council,-37.9127,145.0694,Southern Metropolitan,10969,,
Bentleigh East,1/62 Tudor St,3,h," $810,000.00 ",PI,Buxton,20/05/2017,13.9,3165,3,1,1,294,105,1950,Glen Eira City Council,-37.919,145.0803,Southern Metropolitan,10969,,
Box Hill,35 Barkly St,3,h," $1,760,000.00 ",S,Noel,20/05/2017,13.1,3128,3,1,2,689,152,1920,Whitehorse City Council,-37.8262,145.1301,Eastern Metropolitan,4605,,
Brunswick,7/200 Albion St,2,u," $585,000.00 ",PI,Jellis,20/05/2017,5.2,3056,2,1,1,430,258,2006,Moreland City Council,-37.7609,144.9623,Northern Metropolitan,11918,,
Brunswick,6/1 Heller St,4,h," $1,900,000.00 ",VB,Nelson,20/05/2017,5.2,3056,4,3,2,0,212,2012,Moreland City Council,-37.775,144.9513,Northern Metropolitan,11918,,
Brunswick East,9/211 Weston St,2,u," $835,000.00 ",SP,Jellis,20/05/2017,4.5,3057,2,1,2,0,96,2005,Moreland City Council,-37.7761,144.975,Northern Metropolitan,5533,,
Brunswick West,2/31 Cumming St,3,t," $670,000.00 ",PI,Nelson,20/05/2017,5.9,3055,3,1,2,109,104,2010,Moreland City Council,-37.7609,144.9416,Northern Metropolitan,7082,,
Brunswick West,2/11 Howson St,2,u," $640,000.00 ",S,RW,20/05/2017,5.9,3055,2,1,1,559,57,1970,Moreland City Council,-37.7707,144.9488,Northern Metropolitan,7082,,
Burwood,362 Burwood Hwy,2,h," $1,815,000.00 ",S,Lindellas,20/05/2017,11.7,3125,1,1,1,698,196,1960,Monash City Council,-37.8518,145.1278,Southern Metropolitan,5678,,
Burwood,37 Haig St,3,h," $1,590,000.00 ",SP,Jellis,20/05/2017,11.7,3125,3,2,4,862,179.3,1950,Monash City Council,-37.8603,145.0979,Southern Metropolitan,5678,,
Carnegie,4/49 Coorigil Rd,3,u," $945,000.00 ",S,hockingstuart,20/05/2017,11.4,3163,3,1,2,1103,100,1987,Glen Eira City Council,-37.8958,145.0603,Southern Metropolitan,7822,,
Carnegie,26 Railway Rd,4,h," $1,667,000.00 ",S,Ray,20/05/2017,11.4,3163,4,2,2,615,193,1920,Glen Eira City Council,-37.8928,145.0531,Southern Metropolitan,7822,,
Caulfield South,9/434 Kooyong Rd,2,u," $630,000.00 ",S,Biggin,20/05/2017,9.3,3162,2,1,1,0,71,2003,Glen Eira City Council,-37.8937,145.0137,Southern Metropolitan,5051,,
Caulfield South,131 Sycamore St,3,h," $1,350,000.00 ",S,Biggin,20/05/2017,9.3,3162,3,2,1,305,129,1925,Glen Eira City Council,-37.8899,145.023,Southern Metropolitan,5051,,
Chadstone,1/29 Atkinson St,3,t," $905,000.00 ",S,Buxton,20/05/2017,13.6,3148,3,1,2,418,132,1955,Monash City Council,-37.886,145.096,Southern Metropolitan,3582,,
Chadstone,2/13 Batesford Rd,3,u," $988,000.00 ",SA,Buxton,20/05/2017,13.6,3148,3,2,2,286,124,2008,Monash City Council,-37.8755,145.0954,Southern Metropolitan,3582,,
Chadstone,2/16 Westbrook St,3,t," $820,000.00 ",VB,hockingstuart,20/05/2017,13.6,3148,3,2,2,213,115,2012,Monash City Council,-37.8827,145.0942,Southern Metropolitan,3582,,
Coburg,51 Gordon St,4,h," $1,500,000.00 ",VB,Nelson,20/05/2017,7.8,3058,4,2,1,453,187,1910,Darebin City Council,-37.7503,144.9481,Northern Metropolitan,11204,,
Coburg,34 Reynard St,4,h," $1,005,000.00 ",S,Nelson,20/05/2017,7.8,3058,4,2,1,172,135,1900,Darebin City Council,-37.7483,144.9634,Northern Metropolitan,11204,,
Collingwood,71 Palmer St,2,h," $888,000.00 ",S,Ray,20/05/2017,1.6,3066,2,1,0,112,100,1900,Yarra City Council,-37.8001,144.9901,Northern Metropolitan,4553,,
Essendon,3 Crisp St,5,h," $1,652,000.00 ",S,Brad,20/05/2017,8,3040,5,2,1,697,196,1920,Moonee Valley City Council,-37.7459,144.9159,Western Metropolitan,9264,,
Essendon,42 Fitzgerald Rd,3,h," $1,131,000.00 ",S,Frank,20/05/2017,8,3040,3,1,1,387,135,1900,Moonee Valley City Council,-37.755,144.9272,Western Metropolitan,9264,,
Essendon,1/8 Glass St,1,u," $310,000.00 ",SP,Brad,20/05/2017,8,3040,1,1,1,845,45,1977,Moonee Valley City Council,-37.7469,144.9206,Western Metropolitan,9264,,
Glenroy,1/217 West St,5,t," $645,000.00 ",S,Barry,20/05/2017,13,3046,5,1,1,227,152,2013,Moreland City Council,-37.6979,144.941,Northern Metropolitan,8870,,
Glenroy,1/26 York St,3,t," $595,000.00 ",SP,Nelson,20/05/2017,13,3046,3,1,2,258,142.6,2001,Moreland City Council,-37.7047,144.9087,Northern Metropolitan,8870,,
Hadfield,72 Sutherland St,3,h," $740,000.00 ",SP,Stockdale,20/05/2017,12.1,3046,3,1,4,605,145,1960,Moreland City Council,-37.706,144.9467,Northern Metropolitan,2606,,
Hampton,125 Linacre Rd,4,h," $2,500,000.00 ",PI,RT,20/05/2017,13.7,3188,4,3,2,684,317,2008,Bayside City Council,-37.9436,145.0169,Southern Metropolitan,5454,,
Kingsville,100 Coronation St,4,h," $1,205,000.00 ",S,hockingstuart,20/05/2017,7.8,3012,4,1,1,318,145,1960,Maribyrnong City Council,-37.8105,144.8803,Western Metropolitan,1808,,
Maidstone,18 Pullar St,2,h," $472,500.00 ",S,Burnham,20/05/2017,9.2,3012,2,1,0,315,89,1990,Maribyrnong City Council,-37.7835,144.8723,Western Metropolitan,3873,,
Malvern East,1/29 Grant St,2,u," $1,211,000.00 ",S,Ray,20/05/2017,11.2,3145,2,1,1,259,99,1970,Stonnington City Council,-37.8718,145.0526,Southern Metropolitan,8801,,
Malvern East,22 Quentin Rd,4,h," $1,380,000.00 ",S,hockingstuart,20/05/2017,11.2,3145,4,2,2,230,178,2007,Stonnington City Council,-37.8806,145.0831,Southern Metropolitan,8801,,
Malvern East,2 Rotherwood Dr,4,h," $1,715,157.00 ",S,Jellis,20/05/2017,11.2,3145,4,3,2,380,160,2008,Stonnington City Council,-37.8792,145.0869,Southern Metropolitan,8801,,
Moonee Ponds,20 Huntly St,2,h," $970,000.00 ",S,Nelson,20/05/2017,6.9,3039,2,1,2,272,85,1900,Moonee Valley City Council,-37.7641,144.9073,Western Metropolitan,6232,,
Moonee Ponds,6A McPherson St,3,h," $1,070,000.00 ",S,Nelson,20/05/2017,6.9,3039,3,1,2,231,130,1995,Moonee Valley City Council,-37.7616,144.9284,Western Metropolitan,6232,,
Niddrie,2/34 Haldane Rd,2,u," $510,000.00 ",VB,Barry,20/05/2017,11.2,3042,2,1,1,167,69,2013,Moonee Valley City Council,-37.7343,144.8824,Western Metropolitan,2291,,
Niddrie,4/503 Keilor Rd,1,u," $325,000.00 ",PI,Nelson,20/05/2017,11.2,3042,1,1,1,710,58,2015,Moonee Valley City Council,-37.7355,144.8874,Western Metropolitan,2291,,
Ormond,286 Tucker Rd,4,t," $1,425,000.00 ",S,Buxton,20/05/2017,11.8,3204,4,2,2,314,189,2000,Glen Eira City Council,-37.9084,145.0532,Southern Metropolitan,3578,,
Parkville,55 Park Dr,3,h," $2,790,000.00 ",S,Collins,20/05/2017,2.6,3052,3,2,1,180,120,1890,Melbourne City Council,-37.7961,144.9538,Northern Metropolitan,2309,,
Pascoe Vale,10/43 Arndt Rd,2,u," $427,500.00 ",S,hockingstuart,20/05/2017,9.9,3044,2,1,1,134,75,1988,Moreland City Council,-37.7216,144.9292,Northern Metropolitan,7485,,
Pascoe Vale,5/137 Northumberland Rd,3,t," $560,000.00 ",S,Nelson,20/05/2017,9.9,3044,3,2,1,141,94,2009,Moreland City Council,-37.7177,144.9328,Northern Metropolitan,7485,,
Prahran,4/605 High St,2,u," $630,000.00 ",S,hockingstuart,20/05/2017,4.5,3181,2,1,1,0,59,1970,Stonnington City Council,-37.8538,145.0088,Southern Metropolitan,7717,,
Prahran,18/61 High St,2,u," $685,000.00 ",S,hockingstuart,20/05/2017,4.5,3181,2,1,1,8220,87,1965,Stonnington City Council,-37.8508,144.9874,Southern Metropolitan,7717,,
Preston,33 Grandview Rd,3,h," $1,000,000.00 ",VB,Nelson,20/05/2017,8.8,3072,3,1,3,624,145,1950,Darebin City Council,-37.7373,144.9864,Northern Metropolitan,14577,,
Reservoir,2/87 Purinuan Rd,2,h," $375,000.00 ",PI,Nelson,20/05/2017,11.2,3073,2,1,1,101,67,1980,Darebin City Council,-37.7091,145.0259,Northern Metropolitan,21650,,
Richmond,6/323 Church St,3,t," $1,052,000.00 ",S,Jellis,20/05/2017,2.6,3121,3,1,2,0,100,2010,Yarra City Council,-37.8221,144.9988,Northern Metropolitan,14949,,
Richmond,2 Portland St,3,h," $3,000,000.00 ",VB,Jellis,20/05/2017,2.6,3121,3,2,7,230,204,2011,Yarra City Council,-37.8213,144.9948,Northern Metropolitan,14949,,
South Yarra,7 Cassell St,2,h," $1,710,000.00 ",PI,Jellis,20/05/2017,3.3,3141,2,2,0,208,145,1880,Melbourne City Council,-37.8433,145.0024,Southern Metropolitan,14887,,
Thornbury,3/31 Clapham St,2,u," $600,000.00 ",S,Love,20/05/2017,6.5,3071,2,1,1,0,59,1960,Darebin City Council,-37.7549,144.9979,Northern Metropolitan,8870,,
Thornbury,35D Clapham St,3,h," $1,346,000.00 ",S,Nelson,20/05/2017,6.5,3071,3,2,2,349,130,1918,Darebin City Council,-37.7544,144.998,Northern Metropolitan,8870,,
Thornbury,292 Rathmines St,3,h," $1,275,000.00 ",PI,Jellis,20/05/2017,6.5,3071,3,1,2,517,115,1950,Darebin City Council,-37.7638,145.0182,Northern Metropolitan,8870,,
West Footscray,4/38 Hampton Pde,2,u," $266,000.00 ",S,Sweeney,20/05/2017,8.2,3012,2,1,1,1059,65,1970,Maribyrnong City Council,-37.8062,144.8665,Western Metropolitan,5058,,
West Footscray,91 Suffolk St,2,h," $888,000.00 ",PI,Sweeney,20/05/2017,8.2,3012,2,1,2,401,113.81,1945,Maribyrnong City Council,-37.7903,144.8703,Western Metropolitan,5058,,
Yarraville,455 Geelong Rd,2,h," $650,000.00 ",PI,Village,20/05/2017,7,3013,2,1,2,304,81,1960,Maribyrnong City Council,-37.8122,144.8671,Western Metropolitan,6543,,
Yarraville,292 Hyde St,3,h," $750,000.00 ",PI,McGrath,20/05/2017,7,3013,3,2,1,390,126,1980,Maribyrnong City Council,-37.8227,144.8955,Western Metropolitan,6543,,
Yarraville,183 Stephen St,3,h," $970,000.00 ",S,Raine,20/05/2017,7,3013,3,2,0,354,135,1930,Maribyrnong City Council,-37.8212,144.8937,Western Metropolitan,6543,,
Abbotsford,6/205 Gipps St,2,u," $870,000.00 ",S,Biggin,20/05/2017,2.5,3067,2,2,1,0,86,2013,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019,,
Albion,1/121 Anderson Rd,1,u," $200,000.00 ",VB,FN,20/05/2017,13.9,3020,1,1,1,1175,35,1970,Brimbank City Council,-37.7849,144.8272,Western Metropolitan,2185,,
Albion,2/62 Selwyn St,3,u," $600,000.00 ",SA,Douglas,20/05/2017,13.9,3020,3,1,1,181,129,2000,Brimbank City Council,-37.7815,144.8128,Western Metropolitan,2185,,
Carlton,2/100 Keppel St,2,t," $960,000.00 ",VB,Nelson,20/05/2017,1.8,3053,2,2,1,0,90,1860,Melbourne City Council,-37.7947,144.9724,Northern Metropolitan,6786,,
Elwood,23 Byron St,3,h," $1,520,000.00 ",S,Chisholm,20/05/2017,7.7,3184,3,2,1,362,138,1900,Port Phillip City Council,-37.8772,144.9904,Southern Metropolitan,8989,,
Elwood,14/125 Ormond Rd,2,u," $800,000.00 ",SP,Buxton,20/05/2017,7.7,3184,2,2,2,0,92,2001,Port Phillip City Council,-37.8857,144.9884,Southern Metropolitan,8989,,
Elwood,6/53 Tennyson St,2,u," $500,000.00 ",SA,Morleys,20/05/2017,7.7,3184,2,1,1,0,76,1960,Port Phillip City Council,-37.8777,144.9891,Southern Metropolitan,8989,,
Kensington,4/26 Barnett St,3,t," $917,500.00 ",S,Nelson,20/05/2017,4.2,3031,3,1,1,98,101,1997,Melbourne City Council,-37.791,144.9323,Northern Metropolitan,5263,,
North Melbourne,5 Murphy St,3,h," $1,485,000.00 ",S,Jellis,20/05/2017,2.3,3051,3,1,1,198,95,1968,Melbourne City Council,-37.8029,144.9459,Northern Metropolitan,6821,,
West Melbourne,3/212 Roden St,2,t," $1,013,000.00 ",S,Alexkarbon,20/05/2017,1.9,3003,2,2,1,0,130,2010,Melbourne City Council,-37.8094,144.9452,Northern Metropolitan,2230,,
Travancore,456/38 Mt Alexander Rd,2,u," $360,000.00 ",SP,Pagan,20/05/2017,5.3,3032,2,1,1,0,51,2010,Moonee Valley City Council,-37.7847,144.9383,Western Metropolitan,1052,,
Ascot Vale,72 Bloomfield Rd,2,h," $1,020,000.00 ",PI,Nelson,13/05/2017,5.9,3032,2,1,1,226,98,1920,Moonee Valley City Council,-37.7761,144.9165,Western Metropolitan,6567,,
Ascot Vale,75 Maribyrnong Rd,6,h," $2,250,000.00 ",PI,Jellis,13/05/2017,5.9,3032,6,3,2,1012,435,1887,Moonee Valley City Council,-37.7721,144.9184,Western Metropolitan,6567,,
Ascot Vale,5/9 Sandown Rd,4,t," $900,000.00 ",SP,Alexkarbon,13/05/2017,5.9,3032,4,3,2,0,159,2011,Moonee Valley City Council,-37.7831,144.9209,Western Metropolitan,6567,,
Brighton,38/568 New St,2,u," $520,000.00 ",PI,hockingstuart,13/05/2017,11.2,3186,2,1,1,1647,73,2004,Bayside City Council,-37.8847,144.9972,Southern Metropolitan,10579,,
Brighton,3/1 Thomson St,4,h," $2,000,000.00 ",VB,Kay,13/05/2017,11.2,3186,4,2,2,286,283,1999,Bayside City Council,-37.8981,145,Southern Metropolitan,10579,,
Brighton East,7 Billson St,5,h," $2,140,000.00 ",S,Marshall,13/05/2017,10.7,3187,5,2,2,780,206,1950,Bayside City Council,-37.9173,145.0142,Southern Metropolitan,6938,,
Brighton East,40 Hodder St,3,h," $1,635,000.00 ",S,Buxton,13/05/2017,10.7,3187,3,1,1,597,131,1925,Bayside City Council,-37.9064,145.0229,Southern Metropolitan,6938,,
Brunswick,94 Davies St,4,h," $1,385,000.00 ",PI,Jellis,13/05/2017,5.2,3056,4,2,4,650,173.45,1950,Moreland City Council,-37.7575,144.9716,Northern Metropolitan,11918,,
Brunswick,25/5 Evans St,3,t," $981,000.00 ",SP,Nelson,13/05/2017,5.2,3056,3,2,1,122,140,2012,Moreland City Council,-37.7698,144.9661,Northern Metropolitan,11918,,
Brunswick,7/675 Park St,1,u," $418,000.00 ",SP,Harcourts,13/05/2017,5.2,3056,1,1,1,0,51,1970,Moreland City Council,-37.7783,144.9635,Northern Metropolitan,11918,,
Brunswick East,22 Hickford St,2,h," $1,283,000.00 ",S,Jellis,13/05/2017,4.5,3057,2,1,1,263,109,1910,Moreland City Council,-37.7661,144.9742,Northern Metropolitan,5533,,
Brunswick East,5 Linden St,2,h," $1,015,000.00 ",S,Nelson,13/05/2017,4.5,3057,2,1,0,137,67,1890,Moreland City Council,-37.7738,144.9733,Northern Metropolitan,5533,,
Brunswick East,15/67 Nicholson St,2,u," $435,000.00 ",SP,Pagan,13/05/2017,4.5,3057,2,1,1,0,70,2011,Moreland City Council,-37.7755,144.9786,Northern Metropolitan,5533,,
Brunswick West,63A Hunter St,3,h," $1,220,000.00 ",S,Woodards,13/05/2017,5.9,3055,3,1,1,335,113,1940,Moreland City Council,-37.766,144.945,Northern Metropolitan,7082,,
Brunswick West,10 Shamrock St,3,h," $1,100,000.00 ",VB,Nelson,13/05/2017,5.9,3055,3,2,1,169,139,1900,Moreland City Council,-37.7585,144.9504,Northern Metropolitan,7082,,
Bulleen,4 Robinson Gr,5,h," $1,730,000.00 ",S,RT,13/05/2017,11.8,3105,5,4,4,564,185,1955,Manningham City Council,-37.7735,145.0936,Eastern Metropolitan,4480,,
Carlton North,235 Amess St,4,h," $3,450,000.00 ",S,Nelson,13/05/2017,3.2,3054,4,2,1,515,203,1905,Melbourne City Council,-37.7817,144.9742,Northern Metropolitan,3106,,
Carnegie,88A Truganini Rd,3,h," $1,200,000.00 ",PI,hockingstuart,13/05/2017,11.4,3163,3,2,2,515,156,1930,Glen Eira City Council,-37.8924,145.0541,Southern Metropolitan,7822,,
Clifton Hill,15 Dally St,2,h," $1,250,000.00 ",S,Jellis,13/05/2017,3.4,3068,2,1,0,158,95,1890,Yarra City Council,-37.7925,144.9995,Northern Metropolitan,2954,,
Clifton Hill,487 Hoddle St,3,h," $1,652,500.00 ",S,Nelson,13/05/2017,3.4,3068,3,1,0,276,170,1904,Yarra City Council,-37.7933,144.9938,Northern Metropolitan,2954,,
Clifton Hill,14/14 The Esplanade,1,u," $465,000.00 ",S,Haughton,13/05/2017,3.4,3068,1,1,1,0,45,1970,Yarra City Council,-37.7881,145.0058,Northern Metropolitan,2954,,
Coburg,25 Beaumonde St,4,t," $680,000.00 ",S,Collins,13/05/2017,7.8,3058,4,2,1,3747,143,2006,Darebin City Council,-37.7551,144.9787,Northern Metropolitan,11204,,
Coburg,22/129 Harding St,3,t," $824,000.00 ",S,Barry,13/05/2017,7.8,3058,3,1,2,120,113.76,1990,Darebin City Council,-37.7462,144.9795,Northern Metropolitan,11204,,
Doncaster,40 Wetherby Rd,4,h," $1,100,000.00 ",PI,Barry,13/05/2017,13.9,3108,4,3,2,661,170,1965,Manningham City Council,-37.7905,145.1433,Eastern Metropolitan,9028,,
Fairfield,3 Gillies St,3,h," $1,500,000.00 ",PI,Woodards,13/05/2017,5.8,3078,3,1,2,574,150,1925,Darebin City Council,-37.783,145.0165,Northern Metropolitan,2970,,
Flemington,20 Bryant St,5,h," $1,550,000.00 ",PI,Nelson,13/05/2017,4.4,3031,5,1,1,432,200,1915,Melbourne City Council,-37.7859,144.9323,Northern Metropolitan,3593,,
Flemington,8/64 Dover St,2,u," $500,000.00 ",S,Nelson,13/05/2017,4.4,3031,2,1,1,0,72.9,1970,Melbourne City Council,-37.7829,144.9247,Northern Metropolitan,3593,,
Flemington,16/60 Farnham St,2,u," $450,000.00 ",S,Nelson,13/05/2017,4.4,3031,2,1,1,0,62,1970,Melbourne City Council,-37.7826,144.9311,Northern Metropolitan,3593,,
Footscray,47 Shepherd St,3,h," $871,000.00 ",S,Greg,13/05/2017,6.4,3011,3,1,1,267,101,1900,Maribyrnong City Council,-37.7951,144.8901,Western Metropolitan,7570,,
Glen Huntly,8/131 Grange Rd,1,u," $260,000.00 ",SP,Woodards,13/05/2017,10.4,3163,1,1,1,1162,44,1965,Glen Eira City Council,-37.8911,145.0451,Southern Metropolitan,2403,,
Glenroy,17 Bindi St,3,h," $597,500.00 ",S,YPA,13/05/2017,13,3046,3,1,2,663,84,1950,Moreland City Council,-37.6962,144.9349,Northern Metropolitan,8870,,
Glenroy,91 Gowrie St,3,h," $822,000.00 ",S,Barry,13/05/2017,13,3046,3,1,2,738,107.4,1960,Moreland City Council,-37.6972,144.941,Northern Metropolitan,8870,,
Hampton,4/8 Willis St,2,t," $837,000.00 ",SP,Buxton,13/05/2017,13.7,3188,2,2,1,516,92,2007,Bayside City Council,-37.9365,145.0008,Southern Metropolitan,5454,,
Hughesdale,1/547 Neerim Rd,4,t," $1,340,000.00 ",S,Mandy,13/05/2017,13,3166,4,4,2,370,255.79,2006,Monash City Council,-37.8919,145.0781,Southern Metropolitan,3145,,
Keilor East,12 Cecelia Dr,3,h," $745,000.00 ",S,Nelson,13/05/2017,12.8,3033,3,1,1,535,134,1980,Brimbank City Council,-37.7475,144.852,Western Metropolitan,5629,,
Keilor East,3 Pennington St,3,h," $941,000.00 ",S,Harcourts,13/05/2017,12.8,3033,3,1,1,703,111,1965,Brimbank City Council,-37.746,144.8651,Western Metropolitan,5629,,
Kingsville,87 Chirnside St,3,h," $1,190,000.00 ",SP,Village,13/05/2017,7.8,3012,3,1,1,276,105,1925,Maribyrnong City Council,-37.8082,144.8828,Western Metropolitan,1808,,
Malvern,18 Chandlers Rd,3,h," $2,250,000.00 ",S,Marshall,13/05/2017,7.4,3144,3,2,2,192,191,2010,Stonnington City Council,-37.8654,145.0297,Southern Metropolitan,4675,,
Malvern East,16 Tooronga Rd,3,h," $2,020,000.00 ",S,Marshall,13/05/2017,11.2,3145,3,2,2,711,196,1915,Stonnington City Council,-37.8723,145.0387,Southern Metropolitan,8801,,
Melbourne,402/455 Elizabeth St,2,u," $452,000.00 ",S,RT,13/05/2017,2.8,3000,2,1,0,0,60,2006,Melbourne City Council,-37.8084,144.9602,Northern Metropolitan,17496,,
