Suburb,,,Type,Price,,,Distance,,Bedroom,,,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,,Uppercase
Hampton,,,u,580000,,,13.8,,1,,,486,,2012,Bayside City Council,-37.93953,145.00096,Southern Metropolitan,5454,9,1193.415638, ,580000,42028.98551,,HAMPTON
Hampton East,,,t,771000,,,13.8,,2,,,0,99,1992,Bayside City Council,-37.94083,145.03682,Southern Metropolitan,2356,29, ,7787.878788,385500,55869.56522,,HAMPTON EAST
Highett,,,h,1820000,,,16,,4,,,680,680,2006,Bayside City Council,-37.94882,145.03111,Southern Metropolitan,4794,15,2676.470588,2676.470588,455000,113750,,HIGHETT
Hughesdale,,,h,1475000,,,12.3,,5,,,548,157,1920,Monash City Council,-37.90403,145.08118,Southern Metropolitan,3145,101,2691.605839,9394.904459,295000,119918.6992,,HUGHESDALE
Keilor,,,h,635000,,,14.5,,4,,,531,138,1975,Brimbank City Council,-37.71368,144.82082,Western Metropolitan,2339,46,1195.856874,4601.449275,158750,43793.10345,,KEILOR
Keilor Downs,,,h,620000,,,15.5,,3,,,650,100,1985,Brimbank City Council,-37.71575,144.80598,Western Metropolitan,3656,36,953.8461538,6200,206666.6667,40000,,KEILOR DOWNS
Keilor East,,,h,1005000,,,11.7,,5,,,596,176,1970,Brimbank City Council,-37.7305,144.86863,Western Metropolitan,5629,51,1686.241611,5710.227273,201000,85897.4359,,KEILOR EAST
Keilor Park,,,h,700000,,,10.4,,3,,,590,130,1970,Brimbank City Council,-37.7219,144.85239,Western Metropolitan,1119,51,1186.440678,5384.615385,233333.3333,67307.69231,,KEILOR PARK
Keilor Park,,,h,635000,,,10.4,,3,,,174,,2002,Brimbank City Council,-37.72012,144.86149,Western Metropolitan,1119,19,3649.425287, ,211666.6667,61057.69231,,KEILOR PARK
Kensington,,,u,390000,,,3.4,,1,,,0,60,2000,Melbourne City Council,-37.79023,144.92335,Northern Metropolitan,5263,21, ,6500,390000,114705.8824,,KENSINGTON
Kilsyth,,,h,811000,,,26,,3,,,992,,1957,Maroondah City Council,-37.80467,145.30297,Eastern Metropolitan,4654,64,817.5403226, ,270333.3333,31192.30769,,KILSYTH
Maidstone,,,t,650000,,,6.4,,3,,,159,128,2016,Maribyrnong City Council,-37.78502,144.86733,Western Metropolitan,3873,5,4088.050314,5078.125,216666.6667,101562.5,,MAIDSTONE
Maidstone,,,u,435000,,,6.4,,2,,,0,96,2017,Maribyrnong City Council,-37.77813,144.87287,Western Metropolitan,3873,4, ,4531.25,217500,67968.75,,MAIDSTONE
Malvern,,,u,338000,,,5.9,,1,,,0,,1970,Stonnington City Council,-37.87012,145.03545,Southern Metropolitan,4675,51, , ,338000,57288.13559,,MALVERN
Maribyrnong,,,h,1340000,,,4.3,,4,,,697,155,1920,Maribyrnong City Council,-37.78352,144.88981,Western Metropolitan,4918,101,1922.525108,8645.16129,335000,311627.907,,MARIBYRNONG
Mitcham,,,h,480000,,,17.2,,2,,,72,,2006,Whitehorse City Council,-37.81477,145.18867,Eastern Metropolitan,6871,15,6666.666667, ,240000,27906.97674,,MITCHAM
Moonee Ponds,,,h,1270000,,,6.2,,4,,,478,152,1925,Moonee Valley City Council,-37.76421,144.90571,Western Metropolitan,6232,96,2656.903766,8355.263158,317500,204838.7097,,MOONEE PONDS
Mount Waverley,,,h,1850000,,,14.2,,3,,,717,153,1960,Monash City Council,-37.87754,145.12076,Eastern Metropolitan,13366,61,2580.195258,12091.50327,616666.6667,130281.6901,,MOUNT WAVERLEY
Murrumbeena,,,h,1820000,,,10.1,,4,,,632,265,1915,Glen Eira City Council,-37.89465,145.06984,Southern Metropolitan,4442,106,2879.746835,6867.924528,455000,180198.0198,,MURRUMBEENA
North Melbourne,,,u,785000,,,1.8,,2,,,0,95,2008,Melbourne City Council,-37.80202,144.95104,Northern Metropolitan,6821,13, ,8263.157895,392500,436111.1111,,NORTH MELBOURNE
Nunawading,,,u,676000,,,15.4,,2,,,149,84,1970,Manningham City Council,-37.8231,145.17911,Eastern Metropolitan,4973,51,4536.912752,8047.619048,338000,43896.1039,,NUNAWADING
Nunawading,,,h,1002000,,,15.4,,3,,,598,143,1960,Manningham City Council,-37.80827,145.17885,Eastern Metropolitan,4973,61,1675.585284,7006.993007,334000,65064.93506,,NUNAWADING
Nunawading,,,t,1175000,,,15.4,,4,,,289,170,2011,Manningham City Council,-37.82895,145.17678,Eastern Metropolitan,4973,10,4065.743945,6911.764706,293750,76298.7013,,NUNAWADING
Oakleigh,,,h,1365000,,,12.3,,3,,,655,,1960,Monash City Council,-37.89542,145.10055,Southern Metropolitan,3224,61,2083.969466, ,455000,110975.6098,,OAKLEIGH
Oakleigh East,,,h,875000,,,12.3,,3,,,295,144,2006,Monash City Council,-37.90088,145.11692,Southern Metropolitan,2547,15,2966.101695,6076.388889,291666.6667,71138.21138,,OAKLEIGH EAST
Ormond,,,u,327000,,,11.4,,1,,,0,32,1960,Glen Eira City Council,-37.89976,145.04215,Southern Metropolitan,3578,61, ,10218.75,327000,28684.21053,,ORMOND
Ormond,,,h,1900000,,,11.4,,4,,,700,210,1920,Glen Eira City Council,-37.9075,145.05329,Southern Metropolitan,3578,101,2714.285714,9047.619048,475000,166666.6667,,ORMOND
Pascoe Vale,,,h,1210000,,,8.5,,3,,,330,226,2012,Moreland City Council,-37.72623,144.94521,Northern Metropolitan,7485,9,3666.666667,5353.982301,403333.3333,142352.9412,,PASCOE VALE
Prahran,,,u,1003000,,,4.6,,2,,,0,,2003,Stonnington City Council,-37.84696,144.99364,Southern Metropolitan,7717,18, , ,501500,218043.4783,,PRAHRAN
Reservoir,,,h,925000,,,12,,3,,,676,,1940,Darebin City Council,-37.72167,145.01706,Northern Metropolitan,21650,81,1368.343195, ,308333.3333,77083.33333,,RESERVOIR
Reservoir,,,h,351000,,,12,,1,,,168,63,1950,Darebin City Council,-37.69828,145.02184,Northern Metropolitan,21650,71,2089.285714,5571.428571,351000,29250,,RESERVOIR
Reservoir,,,h,690000,,,12,,3,,,514,,1960,Darebin City Council,-37.70331,144.9838,Northern Metropolitan,21650,61,1342.412451, ,230000,57500,,RESERVOIR
Richmond,,,u,630000,,,2.4,,2,,,0,,1970,Yarra City Council,-37.81977,144.99597,Northern Metropolitan,14949,51, , ,315000,262500,,RICHMOND
Ringwood,,,h,1725000,,,19.9,,4,,,1016,310,2002,Maroondah City Council,-37.78372,145.25311,Eastern Metropolitan,7785,19,1697.834646,5564.516129,431250,86683.41709,,RINGWOOD
Ringwood,,,h,633000,,,19.9,,2,,,123,95,2005,Maroondah City Council,-37.82223,145.22504,Eastern Metropolitan,7785,16,5146.341463,6663.157895,316500,31809.04523,,RINGWOOD
Ringwood East,,,h,1090000,,,21.3,,4,,,894,115,1950,Maroondah City Council,-37.8159,145.24688,Eastern Metropolitan,4407,71,1219.239374,9478.26087,272500,51173.70892,,RINGWOOD EAST
Rowville,,,h,936000,,,23.5,,4,,,675,190,1980,Knox City Council,-37.91692,145.25896,South-Eastern Metropolitan,11667,41,1386.666667,4926.315789,234000,39829.78723,,ROWVILLE
Rowville,,,h,860000,,,23.5,,3,,,537,220,2001,Knox City Council,-37.92778,145.24796,South-Eastern Metropolitan,11667,20,1601.489758,3909.090909,286666.6667,36595.74468,,ROWVILLE
Sandringham,,,h,850000,,,15.2,,4,,,709,327,2017,Bayside City Council,-37.95095,145.02096,Southern Metropolitan,4497,4,1198.87165,2599.388379,212500,55921.05263,,SANDRINGHAM
Seabrook,,,h,640000,,,15.5,,3,,,531,,1990,Hobsons Bay City Council,-37.87899,144.75625,Western Metropolitan,1793,31,1205.27307, ,213333.3333,41290.32258,,SEABROOK
South Melbourne,,,h,1720000,,,1.9,,3,,,81,137,1998,Port Phillip City Council,-37.83631,144.95536,Southern Metropolitan,5943,23,21234.5679,12554.74453,573333.3333,905263.1579,,SOUTH MELBOURNE
South Yarra,,,u,600000,,,2.7,,2,,,876,62,1972,Melbourne City Council,-37.83766,144.98799,Southern Metropolitan,14887,49,684.9315068,9677.419355,300000,222222.2222,,SOUTH YARRA
South Yarra,,,u,762500,,,2.7,,2,,,17200,79,2003,Melbourne City Council,-37.83613,144.99661,Southern Metropolitan,14887,18,44.33139535,9651.898734,381250,282407.4074,,SOUTH YARRA
South Yarra,,,h,1855500,,,2.7,,4,,,176,216,1880,Melbourne City Council,-37.83986,144.98598,Southern Metropolitan,14887,141,10542.61364,8590.277778,463875,687222.2222,,SOUTH YARRA
Spotswood,,,h,802000,,,6.2,,2,,,174,100.6,1900,Hobsons Bay City Council,-37.83162,144.88742,Western Metropolitan,1223,121,4609.195402,7972.166998,401000,129354.8387,,SPOTSWOOD
St Albans,,,h,631000,,,14,,4,,,559,158,1970,Brimbank City Council,-37.73593,144.8101,Western Metropolitan,14042,51,1128.801431,3993.670886,157750,45071.42857,,ST ALBANS
St Albans,,,h,582000,,,14,,3,,,674,94,1960,Brimbank City Council,-37.73704,144.79108,Western Metropolitan,14042,61,863.5014837,6191.489362,194000,41571.42857,,ST ALBANS
St Kilda,,,u,468000,,,5,,1,,,0,55,2000,Port Phillip City Council,-37.87094,144.9807,Southern Metropolitan,13240,21, ,8509.090909,468000,93600,,ST KILDA
St Kilda,,,u,470000,,,5,,1,,,548,44.4,2009,Port Phillip City Council,-37.87312,144.97986,Southern Metropolitan,13240,12,857.6642336,10585.58559,470000,94000,,ST KILDA
Strathmore,,,h,1140000,,,8.2,,4,,,0,,2005,Moonee Valley City Council,-37.73831,144.91114,Western Metropolitan,3284,16, , ,285000,139024.3902,,STRATHMORE
Strathmore,,,u,750000,,,8.2,,3,,,288,94,1970,Moonee Valley City Council,-37.73415,144.91852,Western Metropolitan,3284,51,2604.166667,7978.723404,250000,91463.41463,,STRATHMORE
Sunshine,,,h,830500,,,10.5,,3,,,508,111,1950,Brimbank City Council,-37.7807,144.83648,Western Metropolitan,3755,71,1634.84252,7481.981982,276833.3333,79095.2381,,SUNSHINE
Sunshine West,,,h,551000,,,10.5,,3,,,613,105,1974,Brimbank City Council,-37.80046,144.82676,Western Metropolitan,6763,47,898.858075,5247.619048,183666.6667,52476.19048,,SUNSHINE WEST
Sunshine West,,,h,450000,,,10.5,,3,,,283,104,1970,Brimbank City Council,-37.79703,144.81228,Western Metropolitan,6763,51,1590.106007,4326.923077,150000,42857.14286,,SUNSHINE WEST
Templestowe,,,h,1635000,,,15.5,,4,,,896,215,1985,Manningham City Council,-37.76797,145.13799,Eastern Metropolitan,6202,36,1824.776786,7604.651163,408750,105483.871,,TEMPLESTOWE
Templestowe Lower,,,h,1138000,,,12.4,,3,,,706,184,1970,Manningham City Council,-37.77185,145.12509,Eastern Metropolitan,5420,51,1611.898017,6184.782609,379333.3333,91774.19355,,TEMPLESTOWE LOWER
The Basin,,,h,477000,,,27,,3,,,518,102,1960,Knox City Council,-37.85971,145.31036,Eastern Metropolitan,1690,61,920.8494208,4676.470588,159000,17666.66667,,THE BASIN
Thornbury,,,u,415000,,,7,,1,,,0,39,1970,Darebin City Council,-37.75443,145.00919,Northern Metropolitan,8870,51, ,10641.02564,415000,59285.71429,,THORNBURY
Thornbury,,,h,905000,,,7,,2,,,225,100,1960,Darebin City Council,-37.75642,144.98755,Northern Metropolitan,8870,61,4022.222222,9050,452500,129285.7143,,THORNBURY
Toorak,,,u,577000,,,4.1,,1,,,0,,1970,Stonnington City Council,-37.84263,145.00448,Southern Metropolitan,7217,51, , ,577000,140731.7073,,TOORAK
Tullamarine,,,h,895000,,,12.9,,4,,,700,267,1999,Brimbank City Council,-37.70598,144.87616,Western Metropolitan,3296,22,1278.571429,3352.059925,223750,69379.84496,,TULLAMARINE
Tullamarine,,,h,586000,,,12.9,,4,,,0,158,1975,Brimbank City Council,-37.70695,144.88514,Western Metropolitan,3296,46, ,3708.860759,146500,45426.35659,,TULLAMARINE
Wantirna South,,,u,570000,,,14.7,,3,,,190,,2000,Knox City Council,-37.87638,145.2313,Eastern Metropolitan,7082,21,3000, ,190000,38775.5102,,WANTIRNA SOUTH
Wantirna South,,,h,778000,,,14.7,,3,,,306,,2012,Knox City Council,-37.85605,145.24496,Eastern Metropolitan,7082,9,2542.48366, ,259333.3333,52925.17007,,WANTIRNA SOUTH
Wantirna South,,,h,1055000,,,14.7,,4,,,652,203,1997,Knox City Council,-37.87325,145.23244,Eastern Metropolitan,7082,24,1618.09816,5197.044335,263750,71768.70748,,WANTIRNA SOUTH
West Melbourne,,,u,670000,,,3.1,,2,,,17,90,1996,Melbourne City Council,-37.8118,144.95259,Northern Metropolitan,2230,25,39411.76471,7444.444444,335000,216129.0323,,WEST MELBOURNE
West Melbourne,,,u,510000,,,3.1,,2,,,75,66,2007,Melbourne City Council,-37.80473,144.9435,Northern Metropolitan,2230,14,6800,7727.272727,255000,164516.129,,WEST MELBOURNE
Windsor,,,u,410000,,,4.6,,1,,,0,51,1960,Port Phillip City Council,-37.85687,144.99748,Southern Metropolitan,4380,61, ,8039.215686,410000,89130.43478,,WINDSOR
Yarraville,,,h,1285000,,,6.3,,3,,,284,124,1900,Maribyrnong City Council,-37.81335,144.89471,Western Metropolitan,6543,121,4524.647887,10362.90323,428333.3333,203968.254,,YARRAVILLE
Altona,,,h,935000,,,11,,4,,,629,180,1985,Hobsons Bay City Council,-37.86027,144.82073,Western Metropolitan,5301,36,1486.486486,5194.444444,233750,85000,,ALTONA
Altona,,,t,815000,,,11,,3,,,159,130,2014,Hobsons Bay City Council,-37.86472,144.82929,Western Metropolitan,5301,7,5125.786164,6269.230769,271666.6667,74090.90909,,ALTONA
Altona Meadows,,,u,440500,,,15.5,,3,,,205,,1990,Hobsons Bay City Council,-37.88995,144.78505,Western Metropolitan,7630,31,2148.780488, ,146833.3333,28419.35484,,ALTONA MEADOWS
Altona North,,,u,451500,,,9.4,,3,,,180,88,1965,Hobsons Bay City Council,-37.83648,144.86296,Western Metropolitan,5132,56,2508.333333,5130.681818,150500,48031.91489,,ALTONA NORTH
Ascot Vale,,,u,825000,,,4.3,,3,,,2905,164,2005,Moonee Valley City Council,-37.78258,144.91694,Western Metropolitan,6567,16,283.9931153,5030.487805,275000,191860.4651,,ASCOT VALE
Ascot Vale,,,u,425500,,,4.3,,2,,,1727,82,1960,Moonee Valley City Council,-37.77341,144.9013,Western Metropolitan,6567,61,246.3810075,5189.02439,212750,98953.48837,,ASCOT VALE
Ascot Vale,,,h,920000,,,4.3,,2,,,234,,1910,Moonee Valley City Council,-37.78052,144.93002,Western Metropolitan,6567,111,3931.623932, ,460000,213953.4884,,ASCOT VALE
Ascot Vale,,,h,1306000,,,4.3,,3,,,199,126,1900,Moonee Valley City Council,-37.77561,144.91695,Western Metropolitan,6567,121,6562.81407,10365.07937,435333.3333,303720.9302,,ASCOT VALE
Ascot Vale,,,u,566000,,,4.3,,2,,,1017,,1972,Moonee Valley City Council,-37.77226,144.90942,Western Metropolitan,6567,49,556.5388397, ,283000,131627.907,,ASCOT VALE
Ashwood,,,h,1420000,,,10.2,,3,,,726,130,1965,Monash City Council,-37.86173,145.11074,Southern Metropolitan,2894,56,1955.922865,10923.07692,473333.3333,139215.6863,,ASHWOOD
Avondale Heights,,,h,934000,,,9.5,,4,,,581,163,1975,Moonee Valley City Council,-37.76421,144.85594,Western Metropolitan,4502,46,1607.57315,5730.06135,233500,98315.78947,,AVONDALE HEIGHTS
Bayswater North,,,h,762000,,,23.2,,3,,,792,148,1980,Maroondah City Council,-37.82809,145.29287,Eastern Metropolitan,3598,41,962.1212121,5148.648649,254000,32844.82759,,BAYSWATER NORTH
Blackburn,,,h,1070000,,,13.4,,3,,,448,96,1950,Whitehorse City Council,-37.82956,145.13868,Eastern Metropolitan,5713,71,2388.392857,11145.83333,356666.6667,79850.74627,,BLACKBURN
Blackburn North,,,u,706000,,,13.4,,2,,,305,305,1940,Whitehorse City Council,-37.80906,145.15787,Eastern Metropolitan,2867,81,2314.754098,2314.754098,353000,52686.56716,,BLACKBURN NORTH
Boronia,,,h,785000,,,25,,3,,,723,138,1980,Knox City Council,-37.85284,145.26942,Eastern Metropolitan,9704,41,1085.753804,5688.405797,261666.6667,31400,,BORONIA
Boronia,,,h,950000,,,25,,4,,,2033,255,1970,Knox City Council,-37.86669,145.29959,Eastern Metropolitan,9704,51,467.2897196,3725.490196,237500,38000,,BORONIA
Brighton,,,h,2800000,,,10.5,,4,,,498,226,1900,Bayside City Council,-37.90396,144.99126,Southern Metropolitan,10579,121,5622.48996,12389.38053,700000,266666.6667,,BRIGHTON
Brighton,,,u,290000,,,10.5,,1,,,0,35,1960,Bayside City Council,-37.9041,144.9993,Southern Metropolitan,10579,61, ,8285.714286,290000,27619.04762,,BRIGHTON
Brooklyn,,,u,372100,,,6.4,,2,,,0,66,2000,Brimbank City Council,-37.82212,144.84477,Western Metropolitan,962,21, ,5637.878788,186050,58140.625,,BROOKLYN
Brunswick,,,h,1350000,,,5.2,,4,,,372,184,1920,Moreland City Council,-37.76166,144.95065,Northern Metropolitan,11918,101,3629.032258,7336.956522,337500,259615.3846,,BRUNSWICK
Brunswick East,,,t,702500,,,4,,2,,,65,78,2013,Moreland City Council,-37.76812,144.97414,Northern Metropolitan,5533,8,10807.69231,9006.410256,351250,175625,,BRUNSWICK EAST
Brunswick West,,,u,275000,,,5.2,,1,,,1388,36,1970,Moreland City Council,-37.7684,144.94214,Northern Metropolitan,7082,51,198.1268012,7638.888889,275000,52884.61538,,BRUNSWICK WEST
Brunswick West,,,h,835000,,,5.2,,2,,,207,77,1950,Moreland City Council,-37.76221,144.94055,Northern Metropolitan,7082,71,4033.816425,10844.15584,417500,160576.9231,,BRUNSWICK WEST
Carnegie,,,h,1840000,,,10.1,,3,,,483,171,1920,Glen Eira City Council,-37.89204,145.06086,Southern Metropolitan,7822,101,3809.52381,10760.23392,613333.3333,182178.2178,,CARNEGIE
Carnegie,,,u,430000,,,10.1,,2,,,2048,68,1960,Glen Eira City Council,-37.88642,145.05979,Southern Metropolitan,7822,61,209.9609375,6323.529412,215000,42574.25743,,CARNEGIE
Caulfield North,,,u,361000,,,7.8,,1,,,60,53,1975,Glen Eira City Council,-37.87972,145.03351,Southern Metropolitan,6923,46,6016.666667,6811.320755,361000,46282.05128,,CAULFIELD NORTH
Chadstone,,,u,960000,,,11.7,,3,,,382,151,2000,Monash City Council,-37.88304,145.0969,Southern Metropolitan,3582,21,2513.089005,6357.615894,320000,82051.28205,,CHADSTONE
Coburg,,,h,900000,,,6.7,,3,,,227,102,1920,Darebin City Council,-37.75296,144.95967,Northern Metropolitan,11204,101,3964.757709,8823.529412,300000,134328.3582,,COBURG
Collingwood,,,u,365000,,,2,,1,,,0,46,1960,Yarra City Council,-37.79597,144.99108,Northern Metropolitan,4553,61, ,7934.782609,365000,182500,,COLLINGWOOD
Croydon,,,h,662000,,,23,,3,,,396,120,1950,Maroondah City Council,-37.79486,145.28674,Eastern Metropolitan,11925,71,1671.717172,5516.666667,220666.6667,28782.6087,,CROYDON
Croydon,,,u,625500,,,23,,3,,,397,,1950,Maroondah City Council,-37.79795,145.2957,Eastern Metropolitan,11925,71,1575.566751, ,208500,27195.65217,,CROYDON
Delahey,,,h,560000,,,18,,3,,,543,153,1995,Brimbank City Council,-37.7143,144.77096,Western Metropolitan,2898,26,1031.307551,3660.130719,186666.6667,31111.11111,,DELAHEY
Donvale,,,t,920000,,,16.1,,3,,,239,187,2007,Manningham City Council,-37.77323,145.18029,Eastern Metropolitan,4790,14,3849.372385,4919.786096,306666.6667,57142.85714,,DONVALE
Donvale,,,h,904000,,,16.1,,3,,,720,116,1960,Manningham City Council,-37.80349,145.19666,Eastern Metropolitan,4790,61,1255.555556,7793.103448,301333.3333,56149.06832,,DONVALE
Essendon,,,u,502500,,,7.5,,2,,,0,62,1980,Moonee Valley City Council,-37.7494,144.92096,Western Metropolitan,9264,41, ,8104.83871,251250,67000,,ESSENDON
Essendon West,,,h,1410000,,,7.5,,3,,,585,198,1950,Moonee Valley City Council,-37.75374,144.88932,Western Metropolitan,588,71,2410.25641,7121.212121,470000,188000,,ESSENDON WEST
Ferntree Gully,,,h,748888,,,24.8,,4,,,1014,280,1960,Knox City Council,-37.88189,145.29148,Eastern Metropolitan,10788,61,738.5483235,2674.6,187222,30197.09677,,FERNTREE GULLY
Ferntree Gully,,,h,850000,,,24.8,,4,,,738,148,1985,Knox City Council,-37.89863,145.26708,Eastern Metropolitan,10788,36,1151.761518,5743.243243,212500,34274.19355,,FERNTREE GULLY
Fitzroy,,,u,490000,,,2.1,,1,,,0,57,2013,Yarra City Council,-37.80348,144.98257,Northern Metropolitan,5825,8, ,8596.491228,490000,233333.3333,,FITZROY
Footscray,,,u,395000,,,5.1,,2,,,0,73,1970,Maribyrnong City Council,-37.79711,144.88825,Western Metropolitan,7570,51, ,5410.958904,197500,77450.98039,,FOOTSCRAY
Footscray,,,h,991000,,,5.1,,2,,,318,106,1910,Maribyrnong City Council,-37.79529,144.88453,Western Metropolitan,7570,111,3116.352201,9349.056604,495500,194313.7255,,FOOTSCRAY
Forest Hill,,,h,945000,,,15.4,,4,,,294,194,2010,Whitehorse City Council,-37.85156,145.16923,Eastern Metropolitan,4385,11,3214.285714,4871.134021,236250,61363.63636,,FOREST HILL
Forest Hill,,,h,1020000,,,15.4,,2,,,581,116.4,1970,Whitehorse City Council,-37.84207,145.17795,Eastern Metropolitan,4385,51,1755.593804,8762.886598,510000,66233.76623,,FOREST HILL
Glen Waverley,,,u,960000,,,16.7,,2,,,229,101,1990,Monash City Council,-37.87606,145.15951,Eastern Metropolitan,15321,31,4192.139738,9504.950495,480000,57485.02994,,GLEN WAVERLEY
Glen Waverley,,,h,1116500,,,16.7,,5,,,701,182.85,1960,Monash City Council,-37.88902,145.16678,Eastern Metropolitan,15321,61,1592.724679,6106.097894,223300,66856.28743,,GLEN WAVERLEY
Heathmont,,,u,525000,,,21.3,,2,,,0,80,1980,Maroondah City Council,-37.82118,145.24138,Eastern Metropolitan,3794,41, ,6562.5,262500,24647.88732,,HEATHMONT
Keilor Downs,,,h,705000,,,15.5,,4,,,815,198,2000,Brimbank City Council,-37.71757,144.81328,Western Metropolitan,3656,21,865.0306748,3560.606061,176250,45483.87097,,KEILOR DOWNS
Keilor Downs,,,h,590000,,,15.5,,4,,,757,152,1980,Brimbank City Council,-37.72483,144.8143,Western Metropolitan,3656,41,779.3923382,3881.578947,147500,38064.51613,,KEILOR DOWNS
Keilor East,,,h,920000,,,11.7,,3,,,313,140,1960,Brimbank City Council,-37.74214,144.86965,Western Metropolitan,5629,61,2939.297125,6571.428571,306666.6667,78632.47863,,KEILOR EAST
Keilor East,,,h,1100000,,,11.7,,4,,,500,267,2011,Brimbank City Council,-37.73573,144.87531,Western Metropolitan,5629,10,2200,4119.850187,275000,94017.09402,,KEILOR EAST
Keilor East,,,h,840000,,,11.7,,3,,,575,138,1970,Brimbank City Council,-37.74316,144.87894,Western Metropolitan,5629,51,1460.869565,6086.956522,280000,71794.87179,,KEILOR EAST
Keilor East,,,h,860000,,,11.7,,3,,,568,,1960,Brimbank City Council,-37.7465,144.8613,Western Metropolitan,5629,61,1514.084507, ,286666.6667,73504.2735,,KEILOR EAST
Kensington,,,u,535000,,,3.4,,2,,,0,110,1998,Melbourne City Council,-37.79013,144.92359,Northern Metropolitan,5263,23, ,4863.636364,267500,157352.9412,,KENSINGTON
Maidstone,,,h,930000,,,6.4,,3,,,545,116,1940,Maribyrnong City Council,-37.78571,144.87346,Western Metropolitan,3873,81,1706.422018,8017.241379,310000,145312.5,,MAIDSTONE
Maidstone,,,t,650000,,,6.4,,2,,,279,104,2013,Maribyrnong City Council,-37.78799,144.87515,Western Metropolitan,3873,8,2329.749104,6250,325000,101562.5,,MAIDSTONE
Maidstone,,,t,702000,,,6.4,,3,,,189,131,2000,Maribyrnong City Council,-37.78606,144.87205,Western Metropolitan,3873,21,3714.285714,5358.778626,234000,109687.5,,MAIDSTONE
Malvern,,,u,575000,,,5.9,,2,,,0,,1999,Stonnington City Council,-37.85557,145.03968,Southern Metropolitan,4675,22, , ,287500,97457.62712,,MALVERN
Maribyrnong,,,t,675000,,,4.3,,2,,,198,,2009,Maribyrnong City Council,-37.76703,144.88915,Western Metropolitan,4918,12,3409.090909, ,337500,156976.7442,,MARIBYRNONG
Maribyrnong,,,u,440000,,,4.3,,2,,,0,93,2003,Maribyrnong City Council,-37.77117,144.88041,Western Metropolitan,4918,18, ,4731.182796,220000,102325.5814,,MARIBYRNONG
Melbourne,,,u,387000,,,0,,2,,,0,47,2011,Melbourne City Council,-37.81301,144.96924,Northern Metropolitan,17496,10, ,8234.042553,193500,#DIV/0!,,MELBOURNE
Moonee Ponds,,,h,951000,,,6.2,,2,,,172,,1900,Moonee Valley City Council,-37.7638,144.9089,Western Metropolitan,6232,121,5529.069767, ,475500,153387.0968,,MOONEE PONDS
Moonee Ponds,,,h,1425000,,,6.2,,4,,,388,151,1890,Moonee Valley City Council,-37.7685,144.91103,Western Metropolitan,6232,131,3672.680412,9437.086093,356250,229838.7097,,MOONEE PONDS
Mount Waverley,,,h,2248000,,,14.2,,5,,,729,398,2016,Monash City Council,-37.86582,145.14824,Eastern Metropolitan,13366,5,3083.676269,5648.241206,449600,158309.8592,,MOUNT WAVERLEY
Mount Waverley,,,h,1260000,,,14.2,,3,,,743,148.47,1960,Monash City Council,-37.8958,145.11969,Eastern Metropolitan,13366,61,1695.827725,8486.562942,420000,88732.39437,,MOUNT WAVERLEY
Mulgrave,,,h,960000,,,18.8,,5,,,731,130,1965,Monash City Council,-37.9298,145.16524,South-Eastern Metropolitan,7113,56,1313.269494,7384.615385,192000,51063.82979,,MULGRAVE
Murrumbeena,,,t,956000,,,10.1,,3,,,137,137,1994,Glen Eira City Council,-37.887,145.07303,Southern Metropolitan,4442,27,6978.10219,6978.10219,318666.6667,94653.46535,,MURRUMBEENA
Niddrie,,,h,950000,,,10.4,,4,,,558,148,1970,Moonee Valley City Council,-37.73834,144.88197,Western Metropolitan,2291,51,1702.508961,6418.918919,237500,91346.15385,,NIDDRIE
North Melbourne,,,u,541000,,,1.8,,2,,,0,53,2004,Melbourne City Council,-37.8044,144.95657,Northern Metropolitan,6821,17, ,10207.54717,270500,300555.5556,,NORTH MELBOURNE
Northcote,,,h,1307500,,,5.3,,3,,,258,124,1920,Darebin City Council,-37.76788,144.98621,Northern Metropolitan,11364,101,5067.829457,10544.35484,435833.3333,246698.1132,,NORTHCOTE
Northcote,,,h,1100000,,,5.3,,3,,,449,,1940,Darebin City Council,-37.76198,144.99087,Northern Metropolitan,11364,81,2449.888641, ,366666.6667,207547.1698,,NORTHCOTE
Northcote,,,h,1800000,,,5.3,,3,,,771,,1950,Darebin City Council,-37.76631,145.01699,Northern Metropolitan,11364,71,2334.63035, ,600000,339622.6415,,NORTHCOTE
Notting Hill,,,h,1211000,,,16.7,,4,,,727,167,1970,Monash City Council,-37.90779,145.15042,Southern Metropolitan,902,51,1665.749656,7251.497006,302750,72514.97006,,NOTTING HILL
Oakleigh,,,h,1610000,,,12.3,,4,,,592,193,1950,Monash City Council,-37.90821,145.09314,Southern Metropolitan,3224,71,2719.594595,8341.968912,402500,130894.3089,,OAKLEIGH
Oakleigh East,,,h,1150000,,,12.3,,2,,,622,122,1970,Monash City Council,-37.90168,145.11081,Southern Metropolitan,2547,51,1848.874598,9426.229508,575000,93495.93496,,OAKLEIGH EAST
Prahran,,,u,500000,,,4.6,,2,,,0,78,1960,Stonnington City Council,-37.85924,145.00563,Southern Metropolitan,7717,61, ,6410.25641,250000,108695.6522,,PRAHRAN
